Question,Part,Marks,Options,Correct Answer,Trade,Paper Type
Describe the working of DHCP protocol and its advantages,E,5,,DHCP automatically assigns IP addresses. Process: 1) DHCP Discover, 2) DHCP Offer, 3) DHCP Request, 4) DHCP Acknowledge. Advantages: automatic IP assignment, centralized management, prevents IP conflicts.,OCC,PRIMARY
Explain network security threats and countermeasures,E,5,,Common threats: malware, phishing, DDoS attacks. Countermeasures: firewalls, antivirus software, encryption, access controls, regular updates, network monitoring.,OCC,PRIMARY
Describe the features and benefits of ASIGMA messaging system,E,5,,ASIGMA features: web-based interface, PKI encryption, IACA token authentication, message tracking. Benefits: secure communication, user-friendly interface, reliable message delivery.,OCC,PRIMARY
TCP is a connection-oriented protocol,F,1,,True,OCC,PRIMARY
UDP provides guaranteed delivery of data,F,1,,False,OCC,PRIMARY
IP address 192.168.1.1 is a private IP address,F,1,,True,OCC,PRIMARY
HTTP operates on port 443,F,1,,False,OCC,PRIMARY
MAC address is used for routing between networks,F,1,,False,OCC,PRIMARY
ASIGMA uses PKI for message encryption,F,1,,True,OCC,PRIMARY
DNS translates domain names to IP addresses,F,1,,True,OCC,PRIMARY
Class A IP addresses start with 192,F,1,,False,OCC,PRIMARY
Fiber optic cables are immune to electromagnetic interference,F,1,,True,OCC,PRIMARY
SMTP is used for receiving emails,F,1,,False,OCC,PRIMARY
DMV M/G 413 gari ka fuel tank capacity ____ ltr hai?,A,1,"[""30"",""35"",""40"",""42""]",35,DMV,PRIMARY
DMV M/G 413 gari ke steering free play _____ hotha hai?,A,1,"[""20-30mm"",""8-10mm"",""10-30mm"",""15-20mm""]",10-30mm,DMV,PRIMARY
DMV M/G 413 gari ka first engine oil ____ km ke change kiya jatha hai?,A,1,"[""5000"",""500"",""10000"",""1000""]",1000,DMV,PRIMARY
DMV M/G 413 ka injector ______ prakar ka hai?,A,1,"[""EMR"",""Mechanical type"",""Hydraulic type"",""Electrical type""]",Mechanical type,DMV,PRIMARY
DMV Harbour ________ prakar ke hai,A,1,"[""5"",""4"",""3"",""2""]",4,DMV,PRIMARY
DMV Minor repair ________ka jimmmewari hai,A,1,"[""URO"",""WKSP"",""Base wksp"",""Driver""]",Driver,DMV,PRIMARY
DMV Night convoy key dauran apsi male milap _____se hona chahiye,A,1,"[""DR"",""Radio Set"",""Second driver"",""Driver""]",DR,DMV,PRIMARY
DMV Non skid chain ______ ilake me istmal kerta hai,A,1,"[""Pahadi"",""Burfile"",""Samtal"",""Daldal""]",Pahadi,DMV,PRIMARY
DMV ALS garika rear axel kitne Ton weight sahan kar sakata hai,A,1,"[""5"",""7"",""10"",""15""]",7,DMV,PRIMARY
Explain the working principle of diesel engine,C,2,,Diesel engine works on compression ignition principle. Air is compressed to high pressure and temperature, then diesel fuel is injected which auto-ignites.,DMV,PRIMARY
What are the main components of braking system?,C,2,,Main components: brake pedal, master cylinder, brake fluid, brake lines, brake calipers, brake pads/shoes, brake discs/drums.,DMV,PRIMARY
Describe the function of differential in vehicle,C,2,,Differential allows wheels to rotate at different speeds during turns and distributes power equally to both wheels.,DMV,PRIMARY
What is the purpose of cooling system in engine?,C,2,,Cooling system maintains optimal engine temperature, prevents overheating, and ensures efficient engine operation.,DMV,PRIMARY
Explain the importance of regular vehicle maintenance,C,2,,Regular maintenance ensures vehicle safety, improves fuel efficiency, extends vehicle life, and prevents major breakdowns.,DMV,PRIMARY
What is the purpose of a transformer?,A,1,"[""To change voltage levels"",""To generate electricity"",""To store energy"",""To measure current""]",To change voltage levels,TTC,PRIMARY
What type of current is used in household circuits?,A,1,"[""AC"",""DC"",""Both"",""None""]",AC,TTC,PRIMARY
Safety is everyone's responsibility in the workplace,F,1,,True,ALL,SECONDARY
What is the full form of PPE?,D,1,,Personal Protective Equipment,ALL,SECONDARY
Fire extinguishers should be checked,F,1,,Monthly,ALL,SECONDARY
First aid kit should be available in,F,1,,Every workplace,ALL,SECONDARY
